question,answer
In which region is Kabiraji prepared?,East
What region does Kabiraji belong to?,East
In which region is Kabiraji popular?,East
What is the flavor profile of Kabiraji?,spicy
How does Kabiraji taste?,spicy
What flavor does Kabiraji have?,spicy
What is the food category of Kabiraji?,main course
In which course is Kabiraji typically served?,main course
Is Kabiraji a main dish or a side dish?,main course
What ingredients are needed to prepare Khorisa?,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
What are the required ingredients to make Khorisa?,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
What is Khorisa made of?,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
What is the dietary type of Khorisa?,vegetarian
Is Khorisa vegetarian or non-vegetarian?,vegetarian
What diet category does Khorisa belong to?,vegetarian
How long does it take to prepare Khorisa?,-1 minutes
What is the preparation time for Khorisa?,-1 minutes
How many minutes does it take to prepare Khorisa?,-1 minutes
How long does it take to cook Khorisa?,-1 minutes
What is the cooking time for Khorisa?,-1 minutes
How many minutes does it take to cook Khorisa?,-1 minutes
What is the origin of Khorisa?,Assam
In which state was Khorisa created?,Assam
Which state does Khorisa belong to?,Assam
In which region is Khorisa prepared?,North East
What region does Khorisa belong to?,North East
In which region is Khorisa popular?,North East
What is the flavor profile of Khorisa?,spicy
How does Khorisa taste?,spicy
What flavor does Khorisa have?,spicy
What is the food category of Khorisa?,main course
In which course is Khorisa typically served?,main course
Is Khorisa a main dish or a side dish?,main course
What ingredients are needed to prepare Koldil Chicken?,"Banana flower, chicken, green chili, mustard oil, lemon juice"
What are the required ingredients to make Koldil Chicken?,"Banana flower, chicken, green chili, mustard oil, lemon juice"
What is Koldil Chicken made of?,"Banana flower, chicken, green chili, mustard oil, lemon juice"
What is the dietary type of Koldil Chicken?,non vegetarian
Is Koldil Chicken vegetarian or non-vegetarian?,non vegetarian
What diet category does Koldil Chicken belong to?,non vegetarian
How long does it take to prepare Koldil Chicken?,-1 minutes
What is the preparation time for Koldil Chicken?,-1 minutes
How many minutes does it take to prepare Koldil Chicken?,-1 minutes
How long does it take to cook Koldil Chicken?,-1 minutes
What is the cooking time for Koldil Chicken?,-1 minutes
How many minutes does it take to cook Koldil Chicken?,-1 minutes
What is the origin of Koldil Chicken?,Assam
In which state was Koldil Chicken created?,Assam
Which state does Koldil Chicken belong to?,Assam
In which region is Koldil Chicken prepared?,North East
What region does Koldil Chicken belong to?,North East
In which region is Koldil Chicken popular?,North East
What is the flavor profile of Koldil Chicken?,spicy
How does Koldil Chicken taste?,spicy
What flavor does Koldil Chicken have?,spicy
What is the food category of Koldil Chicken?,main course
In which course is Koldil Chicken typically served?,main course
Is Koldil Chicken a main dish or a side dish?,main course
What ingredients are needed to prepare Konir Dom?,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
What are the required ingredients to make Konir Dom?,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
What is Konir Dom made of?,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
What is the dietary type of Konir Dom?,non vegetarian
Is Konir Dom vegetarian or non-vegetarian?,non vegetarian
What diet category does Konir Dom belong to?,non vegetarian
How long does it take to prepare Konir Dom?,-1 minutes
What is the preparation time for Konir Dom?,-1 minutes
How many minutes does it take to prepare Konir Dom?,-1 minutes
How long does it take to cook Konir Dom?,-1 minutes
What is the cooking time for Konir Dom?,-1 minutes
How many minutes does it take to cook Konir Dom?,-1 minutes
What is the origin of Konir Dom?,Assam
In which state was Konir Dom created?,Assam
Which state does Konir Dom belong to?,Assam
In which region is Konir Dom prepared?,North East
What region does Konir Dom belong to?,North East
In which region is Konir Dom popular?,North East
What is the flavor profile of Konir Dom?,spicy
How does Konir Dom taste?,spicy
What flavor does Konir Dom have?,spicy
What is the food category of Konir Dom?,main course
In which course is Konir Dom typically served?,main course
Is Konir Dom a main dish or a side dish?,main course
What ingredients are needed to prepare Koldil Duck?,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
What are the required ingredients to make Koldil Duck?,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
What is Koldil Duck made of?,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
What is the dietary type of Koldil Duck?,non vegetarian
Is Koldil Duck vegetarian or non-vegetarian?,non vegetarian
What diet category does Koldil Duck belong to?,non vegetarian
How long does it take to prepare Koldil Duck?,-1 minutes
What is the preparation time for Koldil Duck?,-1 minutes
How many minutes does it take to prepare Koldil Duck?,-1 minutes
How long does it take to cook Koldil Duck?,-1 minutes
What is the cooking time for Koldil Duck?,-1 minutes
How many minutes does it take to cook Koldil Duck?,-1 minutes
What is the origin of Koldil Duck?,Assam
In which state was Koldil Duck created?,Assam
Which state does Koldil Duck belong to?,Assam
In which region is Koldil Duck prepared?,North East
What region does Koldil Duck belong to?,North East
In which region is Koldil Duck popular?,North East
What is the flavor profile of Koldil Duck?,spicy
How does Koldil Duck taste?,spicy
What flavor does Koldil Duck have?,spicy
What is the food category of Koldil Duck?,main course
In which course is Koldil Duck typically served?,main course
Is Koldil Duck a main dish or a side dish?,main course
What ingredients are needed to prepare Masor Koni?,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
What are the required ingredients to make Masor Koni?,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
What is Masor Koni made of?,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
What is the dietary type of Masor Koni?,non vegetarian
Is Masor Koni vegetarian or non-vegetarian?,non vegetarian
What diet category does Masor Koni belong to?,non vegetarian
How long does it take to prepare Masor Koni?,-1 minutes
What is the preparation time for Masor Koni?,-1 minutes
How many minutes does it take to prepare Masor Koni?,-1 minutes
How long does it take to cook Masor Koni?,-1 minutes
What is the cooking time for Masor Koni?,-1 minutes
How many minutes does it take to cook Masor Koni?,-1 minutes
What is the origin of Masor Koni?,Assam
In which state was Masor Koni created?,Assam
Which state does Masor Koni belong to?,Assam
In which region is Masor Koni prepared?,North East
What region does Masor Koni belong to?,North East
In which region is Masor Koni popular?,North East
What is the flavor profile of Masor Koni?,spicy
How does Masor Koni taste?,spicy
What flavor does Masor Koni have?,spicy
What is the food category of Masor Koni?,main course
In which course is Masor Koni typically served?,main course
Is Masor Koni a main dish or a side dish?,main course
What ingredients are needed to prepare Mishti Chholar Dal?,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
What are the required ingredients to make Mishti Chholar Dal?,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
What is Mishti Chholar Dal made of?,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
What is the dietary type of Mishti Chholar Dal?,vegetarian
Is Mishti Chholar Dal vegetarian or non-vegetarian?,vegetarian
What diet category does Mishti Chholar Dal belong to?,vegetarian
How long does it take to prepare Mishti Chholar Dal?,10 minutes
What is the preparation time for Mishti Chholar Dal?,10 minutes
How many minutes does it take to prepare Mishti Chholar Dal?,10 minutes
How long does it take to cook Mishti Chholar Dal?,30 minutes
What is the cooking time for Mishti Chholar Dal?,30 minutes
How many minutes does it take to cook Mishti Chholar Dal?,30 minutes
What is the origin of Mishti Chholar Dal?,West Bengal
In which state was Mishti Chholar Dal created?,West Bengal
Which state does Mishti Chholar Dal belong to?,West Bengal
In which region is Mishti Chholar Dal prepared?,East
What region does Mishti Chholar Dal belong to?,East
In which region is Mishti Chholar Dal popular?,East
What is the flavor profile of Mishti Chholar Dal?,sweet
How does Mishti Chholar Dal taste?,sweet
What flavor does Mishti Chholar Dal have?,sweet
What is the food category of Mishti Chholar Dal?,main course
In which course is Mishti Chholar Dal typically served?,main course
Is Mishti Chholar Dal a main dish or a side dish?,main course
What ingredients are needed to prepare Pakhala?,"Curd, cooked rice, curry leaves, dry chilli"
What are the required ingredients to make Pakhala?,"Curd, cooked rice, curry leaves, dry chilli"
What is Pakhala made of?,"Curd, cooked rice, curry leaves, dry chilli"
What is the dietary type of Pakhala?,vegetarian
Is Pakhala vegetarian or non-vegetarian?,vegetarian
What diet category does Pakhala belong to?,vegetarian
How long does it take to prepare Pakhala?,-1 minutes
What is the preparation time for Pakhala?,-1 minutes
How many minutes does it take to prepare Pakhala?,-1 minutes
How long does it take to cook Pakhala?,-1 minutes
What is the cooking time for Pakhala?,-1 minutes
How many minutes does it take to cook Pakhala?,-1 minutes
What is the origin of Pakhala?,Odisha
In which state was Pakhala created?,Odisha
Which state does Pakhala belong to?,Odisha
In which region is Pakhala prepared?,East
What region does Pakhala belong to?,East
In which region is Pakhala popular?,East
What is the flavor profile of Pakhala?,-1
How does Pakhala taste?,-1
What flavor does Pakhala have?,-1
What is the food category of Pakhala?,main course
In which course is Pakhala typically served?,main course
Is Pakhala a main dish or a side dish?,main course
What ingredients are needed to prepare Pani Pitha?,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
What are the required ingredients to make Pani Pitha?,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
What is Pani Pitha made of?,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
What is the dietary type of Pani Pitha?,vegetarian
Is Pani Pitha vegetarian or non-vegetarian?,vegetarian
What diet category does Pani Pitha belong to?,vegetarian
How long does it take to prepare Pani Pitha?,10 minutes
What is the preparation time for Pani Pitha?,10 minutes
How many minutes does it take to prepare Pani Pitha?,10 minutes
How long does it take to cook Pani Pitha?,20 minutes
What is the cooking time for Pani Pitha?,20 minutes
How many minutes does it take to cook Pani Pitha?,20 minutes
What is the origin of Pani Pitha?,Assam
In which state was Pani Pitha created?,Assam
Which state does Pani Pitha belong to?,Assam
In which region is Pani Pitha prepared?,North East
What region does Pani Pitha belong to?,North East
In which region is Pani Pitha popular?,North East
What is the flavor profile of Pani Pitha?,-1
How does Pani Pitha taste?,-1
What flavor does Pani Pitha have?,-1
What is the food category of Pani Pitha?,main course
In which course is Pani Pitha typically served?,main course
Is Pani Pitha a main dish or a side dish?,main course
What ingredients are needed to prepare Payokh?,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
What are the required ingredients to make Payokh?,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
What is Payokh made of?,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
